,Filename,Count
0,doctest.py,0
1,test_anon.py,12
2,test_arrays.py,60
3,test_array_in_pointer.py,4
4,test_as_parameter.py,22
5,test_bitfields.py,48
6,test_buffers.py,39
7,test_bytes.py,17
8,test_byteswap.py,87
9,test_callbacks.py,29
10,test_cast.py,35
11,test_cfuncs.py,60
12,test_checkretval.py,5
13,test_delattr.py,3
14,test_errno.py,13
15,test_find.py,8
16,test_frombuffer.py,45
17,test_funcptr.py,20
18,test_functions.py,59
19,test_incomplete.py,1
20,test_init.py,6
21,test_internals.py,13
22,test_keeprefs.py,19
23,test_libc.py,3
24,test_loading.py,11
25,test_macholib.py,22
26,test_memfunctions.py,26
27,test_numbers.py,42
28,test_objects.py,1
29,test_parameters.py,62
30,test_pep3118.py,16
31,test_pickling.py,8
32,test_pointers.py,38
33,test_prototypes.py,47
34,test_python_api.py,17
35,test_random_things.py,5
36,test_refcounts.py,14
37,test_repr.py,4
38,test_returnfuncptrs.py,18
39,test_simplesubclasses.py,9
40,test_sizes.py,10
41,test_slicing.py,53
42,test_stringptr.py,13
43,test_strings.py,35
44,test_structures.py,157
45,test_struct_fields.py,12
46,test_unaligned_structures.py,4
47,test_unicode.py,16
48,test_values.py,11
49,test_varsize_struct.py,16
50,test_win32.py,20
51,test_wintypes.py,8
52,test_archive_util.py,40
53,test_bdist.py,3
54,test_bdist_dumb.py,2
55,test_bdist_rpm.py,6
56,test_build.py,8
57,test_build_clib.py,15
58,test_build_ext.py,54
59,test_build_py.py,11
60,test_build_scripts.py,6
61,test_check.py,15
62,test_clean.py,1
63,test_cmd.py,13
64,test_config.py,6
65,test_config_cmd.py,8
66,test_core.py,5
67,test_cygwinccompiler.py,17
68,test_dep_util.py,10
69,test_dir_util.py,15
70,test_dist.py,78
71,test_extension.py,11
72,test_filelist.py,55
73,test_file_util.py,11
74,test_install.py,27
75,test_install_data.py,10
76,test_install_headers.py,2
77,test_install_lib.py,10
78,test_install_scripts.py,9
79,test_log.py,2
80,test_msvc9compiler.py,7
81,test_msvccompiler.py,7
82,test_register.py,20
83,test_sdist.py,28
84,test_spawn.py,13
85,test_sysconfig.py,34
86,test_text_file.py,1
87,test_unixccompiler.py,11
88,test_upload.py,19
89,test_util.py,31
90,test_version.py,10
91,test_versionpredicate.py,0
92,htest.py,0
93,test_autocomplete.py,44
94,test_autocomplete_w.py,1
95,test_autoexpand.py,6
96,test_browser.py,35
97,test_calltip.py,26
98,test_calltip_w.py,1
99,test_codecontext.py,21
100,test_colorizer.py,63
101,test_config.py,126
102,test_configdialog.py,143
103,test_config_key.py,34
104,test_debugger.py,0
105,test_debugger_r.py,2
106,test_debugobj.py,11
107,test_debugobj_r.py,3
108,test_delegator.py,12
109,test_editmenu.py,3
110,test_editor.py,5
111,test_filelist.py,2
112,test_format.py,40
113,test_grep.py,26
114,test_help.py,1
115,test_help_about.py,12
116,test_history.py,15
117,test_hyperparser.py,80
118,test_iomenu.py,5
119,test_macosx.py,4
120,test_mainmenu.py,4
121,test_multicall.py,6
122,test_outwin.py,12
123,test_parenmatch.py,8
124,test_pathbrowser.py,14
125,test_percolator.py,19
126,test_pyparse.py,32
127,test_pyshell.py,9
128,test_query.py,68
129,test_redirector.py,29
130,test_replace.py,16
131,test_rpc.py,5
132,test_run.py,134
133,test_runscript.py,0
134,test_scrolledlist.py,0
135,test_search.py,9
136,test_searchbase.py,20
137,test_searchengine.py,19
138,test_sidebar.py,119
139,test_squeezer.py,65
140,test_stackviewer.py,1
141,test_statusbar.py,6
142,test_text.py,17
143,test_textview.py,32
144,test_tooltip.py,19
145,test_tree.py,2
146,test_undo.py,18
147,test_util.py,1
148,test_warning.py,9
149,test_window.py,4
150,test_zoomheight.py,1
151,test_zzdummy.py,7
152,tkinter_testing_utils.py,2
153,test_all_fixers.py,0
154,test_fixers.py,36
155,test_main.py,16
156,test_parser.py,14
157,test_pytree.py,150
158,test_refactor.py,45
159,test_util.py,168
160,py2_test_grammar.py,89
161,py3_test_grammar.py,98
162,audiotests.py,63
163,audit-tests.py,0
164,autotest.py,0
165,curses_tests.py,0
166,datetimetester.py,1432
167,doctest_aliases.py,0
168,future_test1.py,0
169,future_test2.py,0
170,list_tests.py,147
171,lock_tests.py,133
172,mapping_tests.py,165
173,pickletester.py,413
174,regrtest.py,0
175,re_tests.py,0
176,sample_doctest.py,0
177,sample_doctest_no_docstrings.py,0
178,sample_doctest_no_doctests.py,0
179,seq_tests.py,156
180,signalinterproctester.py,5
181,ssltests.py,0
182,string_tests.py,24
183,testcodec.py,0
184,test_abc.py,147
185,test_abstract_numbers.py,22
186,test_aifc.py,81
187,test_argparse.py,289
188,test_array.py,412
189,test_asdl_parser.py,29
190,test_ast.py,346
191,test_asyncgen.py,165
192,test_asynchat.py,16
193,test_asyncore.py,58
194,test_atexit.py,9
195,test_audioop.py,241
196,test_audit.py,19
197,test_augassign.py,17
198,test_base64.py,118
199,test_baseexception.py,7
200,test_bdb.py,25
201,test_bigaddrspace.py,8
202,test_bigmem.py,325
203,test_binascii.py,122
204,test_binop.py,81
205,test_bisect.py,50
206,test_bool.py,203
207,test_buffer.py,847
208,test_bufio.py,4
