Name,Stmts,Miss,Cover
Lib\_markupbase.py,270,247,9%
Lib\_osx_support.py,251,222,12%
Lib\_py_abc.py,83,72,13%
Lib\_pyio.py,1477,1208,18%
Lib\_strptime.py,306,199,35%
Lib\_threading_local.py,67,50,25%
Lib\aifc.py,616,611,1%
Lib\asynchat.py,148,146,1%
Lib\asyncore.py,404,394,2%
Lib\cProfile.py,115,94,18%
Lib\cgi.py,531,516,3%
Lib\cgitb.py,206,193,6%
Lib\colorsys.py,103,92,11%
Lib\compileall.py,226,211,7%
Lib\crypt.py,72,66,8%
Lib\curses\__init__.py,39,38,3%
Lib\dbm\__init__.py,91,73,20%
Lib\dbm\dumb.py,177,143,19%
Lib\dbm\gnu.py,1,0,100%
Lib\dbm\ndbm.py,1,0,100%
Lib\difflib.py,669,604,10%
Lib\doctest.py,962,730,24%
Lib\ensurepip\__init__.py,119,84,29%
Lib\ensurepip\_uninstall.py,11,6,45%
Lib\filecmp.py,164,133,19%
Lib\fileinput.py,235,199,15%
Lib\fractions.py,303,234,23%
Lib\ftplib.py,549,457,17%
Lib\getopt.py,107,90,16%
Lib\getpass.py,109,87,20%
Lib\graphlib.py,109,88,19%
Lib\gzip.py,397,337,15%
Lib\hmac.py,110,86,22%
Lib\html\__init__.py,37,21,43%
Lib\html\entities.py,9,0,100%
Lib\html\parser.py,279,236,15%
Lib\http\__init__.py,72,71,1%
Lib\idlelib\__init__.py,1,0,100%
Lib\idlelib\autocomplete.py,142,132,7%
Lib\idlelib\autocomplete_w.py,316,314,1%
Lib\idlelib\autoexpand.py,68,59,13%
Lib\idlelib\browser.py,126,122,3%
Lib\idlelib\calltip.py,108,101,6%
Lib\idlelib\calltip_w.py,121,120,1%
Lib\idlelib\codecontext.py,135,132,2%
Lib\idlelib\colorizer.py,200,195,2%
Lib\idlelib\config.py,407,403,1%
Lib\idlelib\config_key.py,180,179,1%
Lib\idlelib\configdialog.py,1029,1027,1%
Lib\idlelib\debugger.py,398,395,1%
Lib\idlelib\debugger_r.py,218,215,1%
