,Filename,Count,Path
0,debug_2.py,0,\debug_2.py
1,plot1.py,0,\plot1.py
2,setup.py,0,\setup.py
3,conf.py,0,\Doc\conf.py
4,custom.c,0,\Doc\includes\custom.c
5,custom2.c,0,\Doc\includes\custom2.c
6,custom3.c,0,\Doc\includes\custom3.c
7,custom4.c,0,\Doc\includes\custom4.c
8,dbpickle.py,0,\Doc\includes\dbpickle.py
9,email-alternative.py,0,\Doc\includes\email-alternative.py
10,email-dir.py,0,\Doc\includes\email-dir.py
11,email-headers.py,0,\Doc\includes\email-headers.py
12,email-mime.py,0,\Doc\includes\email-mime.py
13,email-read-alternative.py,0,\Doc\includes\email-read-alternative.py
14,email-simple.py,0,\Doc\includes\email-simple.py
15,email-unpack.py,0,\Doc\includes\email-unpack.py
16,minidom-example.py,0,\Doc\includes\minidom-example.py
17,mp_newtype.py,0,\Doc\includes\mp_newtype.py
18,mp_pool.py,0,\Doc\includes\mp_pool.py
19,mp_workers.py,0,\Doc\includes\mp_workers.py
20,run-func.c,0,\Doc\includes\run-func.c
21,setup.py,0,\Doc\includes\setup.py
22,sublist.c,0,\Doc\includes\sublist.c
23,turtle-star.py,0,\Doc\includes\turtle-star.py
24,tzinfo_examples.py,0,\Doc\includes\tzinfo_examples.py
25,adapter_datetime.py,0,\Doc\includes\sqlite3\adapter_datetime.py
26,adapter_point_1.py,0,\Doc\includes\sqlite3\adapter_point_1.py
27,adapter_point_2.py,0,\Doc\includes\sqlite3\adapter_point_2.py
28,blob.py,0,\Doc\includes\sqlite3\blob.py
29,collation_reverse.py,0,\Doc\includes\sqlite3\collation_reverse.py
30,complete_statement.py,0,\Doc\includes\sqlite3\complete_statement.py
31,converter_point.py,0,\Doc\includes\sqlite3\converter_point.py
32,ctx_manager.py,0,\Doc\includes\sqlite3\ctx_manager.py
33,executemany_1.py,0,\Doc\includes\sqlite3\executemany_1.py
34,executemany_2.py,0,\Doc\includes\sqlite3\executemany_2.py
35,executescript.py,0,\Doc\includes\sqlite3\executescript.py
36,execute_1.py,0,\Doc\includes\sqlite3\execute_1.py
37,load_extension.py,0,\Doc\includes\sqlite3\load_extension.py
38,md5func.py,0,\Doc\includes\sqlite3\md5func.py
39,mysumaggr.py,0,\Doc\includes\sqlite3\mysumaggr.py
40,pysqlite_datetime.py,0,\Doc\includes\sqlite3\pysqlite_datetime.py
41,rowclass.py,0,\Doc\includes\sqlite3\rowclass.py
42,row_factory.py,0,\Doc\includes\sqlite3\row_factory.py
43,shortcut_methods.py,0,\Doc\includes\sqlite3\shortcut_methods.py
44,sumintwindow.py,0,\Doc\includes\sqlite3\sumintwindow.py
45,text_factory.py,0,\Doc\includes\sqlite3\text_factory.py
46,rstlint.py,0,\Doc\tools\rstlint.py
47,asdl_highlight.py,0,\Doc\tools\extensions\asdl_highlight.py
48,c_annotations.py,0,\Doc\tools\extensions\c_annotations.py
49,escape4chm.py,0,\Doc\tools\extensions\escape4chm.py
50,glossary_search.py,0,\Doc\tools\extensions\glossary_search.py
51,patchlevel.py,0,\Doc\tools\extensions\patchlevel.py
52,peg_highlight.py,0,\Doc\tools\extensions\peg_highlight.py
53,pyspecific.py,0,\Doc\tools\extensions\pyspecific.py
54,suspicious.py,0,\Doc\tools\extensions\suspicious.py
55,blocksort.c,0,\externals\bzip2-1.0.8\blocksort.c
56,bzip2.c,0,\externals\bzip2-1.0.8\bzip2.c
57,bzip2recover.c,0,\externals\bzip2-1.0.8\bzip2recover.c
58,bzlib.c,0,\externals\bzip2-1.0.8\bzlib.c
59,compress.c,0,\externals\bzip2-1.0.8\compress.c
60,crctable.c,0,\externals\bzip2-1.0.8\crctable.c
61,decompress.c,0,\externals\bzip2-1.0.8\decompress.c
62,huffman.c,0,\externals\bzip2-1.0.8\huffman.c
63,mk251.c,0,\externals\bzip2-1.0.8\mk251.c
64,randtable.c,0,\externals\bzip2-1.0.8\randtable.c
65,spewG.c,0,\externals\bzip2-1.0.8\spewG.c
66,unzcrash.c,0,\externals\bzip2-1.0.8\unzcrash.c
67,applink.c,0,\externals\openssl-bin-1.1.1n\amd64\include\applink.c
68,applink.c,0,\externals\openssl-bin-1.1.1n\arm32\include\applink.c
69,applink.c,0,\externals\openssl-bin-1.1.1n\arm64\include\applink.c
70,applink.c,0,\externals\openssl-bin-1.1.1n\win32\include\applink.c
71,shell.c,0,\externals\sqlite-3.38.1.0\shell.c
72,sqlite3.c,0,\externals\sqlite-3.38.1.0\sqlite3.c
73,nmakehlp.c,0,\externals\tcltk-8.6.12.1\amd64\lib\nmake\nmakehlp.c
74,WmDefault.py,0,\externals\tcltk-8.6.12.1\amd64\lib\tix8.4.3\pref\WmDefault.py
75,nmakehlp.c,0,\externals\tcltk-8.6.12.1\arm64\lib\nmake\nmakehlp.c
76,WmDefault.py,0,\externals\tcltk-8.6.12.1\arm64\lib\tix8.4.3\pref\WmDefault.py
77,nmakehlp.c,0,\externals\tcltk-8.6.12.1\win32\lib\nmake\nmakehlp.c
78,WmDefault.py,0,\externals\tcltk-8.6.12.1\win32\lib\tix8.4.3\pref\WmDefault.py
79,crc32.c,0,\externals\xz-5.2.5\debug\crc32.c
80,full_flush.c,0,\externals\xz-5.2.5\debug\full_flush.c
81,hex2bin.c,0,\externals\xz-5.2.5\debug\hex2bin.c
82,known_sizes.c,0,\externals\xz-5.2.5\debug\known_sizes.c
83,memusage.c,0,\externals\xz-5.2.5\debug\memusage.c
84,repeat.c,0,\externals\xz-5.2.5\debug\repeat.c
85,sync_flush.c,0,\externals\xz-5.2.5\debug\sync_flush.c
86,01_compress_easy.c,0,\externals\xz-5.2.5\doc\examples\01_compress_easy.c
87,02_decompress.c,0,\externals\xz-5.2.5\doc\examples\02_decompress.c
88,03_compress_custom.c,0,\externals\xz-5.2.5\doc\examples\03_compress_custom.c
89,04_compress_easy_mt.c,0,\externals\xz-5.2.5\doc\examples\04_compress_easy_mt.c
90,xz_pipe_comp.c,0,\externals\xz-5.2.5\doc\examples_old\xz_pipe_comp.c
91,xz_pipe_decomp.c,0,\externals\xz-5.2.5\doc\examples_old\xz_pipe_decomp.c
92,scanlzma.c,0,\externals\xz-5.2.5\extra\scanlzma\scanlzma.c
93,getopt.c,0,\externals\xz-5.2.5\lib\getopt.c
94,getopt1.c,0,\externals\xz-5.2.5\lib\getopt1.c
95,tuklib_cpucores.c,0,\externals\xz-5.2.5\src\common\tuklib_cpucores.c
96,tuklib_exit.c,0,\externals\xz-5.2.5\src\common\tuklib_exit.c
97,tuklib_mbstr_fw.c,0,\externals\xz-5.2.5\src\common\tuklib_mbstr_fw.c
98,tuklib_mbstr_width.c,0,\externals\xz-5.2.5\src\common\tuklib_mbstr_width.c
99,tuklib_open_stdxxx.c,0,\externals\xz-5.2.5\src\common\tuklib_open_stdxxx.c
100,tuklib_physmem.c,0,\externals\xz-5.2.5\src\common\tuklib_physmem.c
101,tuklib_progname.c,0,\externals\xz-5.2.5\src\common\tuklib_progname.c
102,check.c,0,\externals\xz-5.2.5\src\liblzma\check\check.c
