FileName,DateWhenFileIsAddedToTheProject,NumberOfAuthorsInvolved,ModificationDates
.cvsignore, 2006-03-08,1,   2006-03-08
0e4015b9.0, 2016-01-14,1,   2016-01-14
185test.db, 2003-05-06,2,   2003-05-06  2017-03-27
4e1295a3.0, 2010-05-16,1,   2010-05-16
5ed36f99.0, 2010-05-16,1,   2010-05-16
6e88d7b8.0, 2010-05-16,1,   2010-05-16
99d0fa06.0, 2010-05-16,1,   2010-05-16
@README.txt, 2013-05-27,1,   2013-05-27
AEservertest.py, 1996-03-18,1,   1997-06-12  2001-01-29  1996-03-20  2001-08-25  1996-03-18
AEservertest.rsrc, 1998-08-20,1,   1998-08-20  2003-11-19  1998-11-01  1999-01-29
AEservertest.rsrc.hqx, 1996-03-18,1,   1997-09-08  1996-03-20  1996-08-20  1996-03-18  1996-04-10
INSTALLER, 2011-05-19,2,   2011-05-19  2012-06-24
LONG_DESC.txt, 2011-05-19,1,   2011-05-19
METADATA, 2011-05-19,1,   2011-05-19
Makefile, 2014-03-30,2,   2014-03-30  2014-03-30  2017-09-14  2014-03-30
Makefile.am, 2010-03-15,3,   2013-03-18  2014-08-09  2012-06-26  2013-02-12  2013-04-30  2010-03-15  2010-03-15  2013-03-18
Makefile.in, 2010-03-15,3,   2013-03-18  2014-08-09  2012-06-26  2013-02-12  2013-04-30  2010-03-15  2010-03-15  2013-03-18
PKG-INFO, 2011-05-19,1,   2011-05-19
PyBanner048.gif, 2001-09-23,4,   2022-04-14  2002-07-23  2007-08-30  2002-07-19  2011-03-21  2022-02-04  2001-09-23  2007-08-25
README, 1994-10-08,20,   2003-02-03  2008-11-07  2001-05-23  2001-09-09  2002-11-27  2007-04-25  2011-02-25  2006-04-21  2000-08-04  2000-10-23  2010-12-28  2000-06-30  2017-03-27  2019-05-02  2008-10-19  2001-09-28  2010-07-13  2000-07-19  2008-10-15  2010-08-01  1994-10-08  2007-08-05  2010-02-06  2002-07-23  2011-02-25  2006-12-13  2002-04-23  2010-07-31  2002-07-23  2001-09-10  2001-05-23  2007-12-08  2019-05-02  2002-08-22  2011-03-16  2008-05-26  2008-10-04  2008-10-04  2001-05-23  2007-04-24  2000-08-21  2007-04-27  2000-08-23  2007-04-24  2010-07-13  2008-10-04  2008-10-15  2006-10-28  2007-12-08  2009-01-28  2010-12-30  2011-07-04  2006-02-28  2006-01-10  2009-01-28  2006-04-14  2003-04-30
README.md, 2019-09-10,1,   2019-09-10
README.rst, 2017-09-06,2,   2017-09-06  2019-06-11
README.txt, 2006-02-28,11,   2015-03-29  2018-06-20  2017-07-16  2011-01-03  2006-04-21  2016-06-03  2015-05-16  2006-02-28  2016-05-15  2013-07-28  2012-03-21  2017-09-14  2016-05-30  2016-06-03  2014-06-02  2006-04-14  2014-02-27  2006-02-28  2013-05-28  2014-02-15  2013-06-29  2017-10-14  2016-06-04
RECORD, 2011-05-19,2,   2011-05-19  2012-06-24
REQUESTED, 2011-05-19,2,   2011-05-19  2012-06-24
RESOURCES, 2011-05-19,1,   2011-05-19
SETUPTOOLS-PKG-INFO, 2011-05-19,1,   2011-05-19
SETUPTOOLS-PKG-INFO2, 2011-05-19,1,   2011-05-19
SOURCES.txt, 2011-05-19,2,   2011-05-19  2012-06-24
Setup.sample, 2009-06-03,2,   2009-06-03  2011-06-04  2011-06-04  2009-06-03
Sine-1000Hz-300ms.aif, 2009-04-29,1,   2009-04-29  2009-04-29  2009-04-29
__init__.py, 1997-11-06,94,   2009-01-16  2010-02-11  2020-04-29  2017-12-12  2017-11-29  2010-03-22  2013-08-11  2018-12-26  2018-06-08  2019-08-13  2021-07-29  2009-07-19  2021-09-15  2016-12-13  2022-04-22  2014-05-03  2018-12-17  2015-09-26  2016-02-11  2016-11-20  2016-05-26  2015-09-26  2008-03-19  2016-12-06  2010-09-13  2021-04-23  2020-06-17  2018-10-30  2017-05-09  2007-08-25  2010-09-13  2017-09-24  2016-03-25  2015-04-08  2018-03-25  2021-11-01  2017-04-20  2011-11-15  2015-04-03  2017-11-05  2016-11-13  2009-02-01  2017-04-26  2018-06-06  2021-09-17  2022-01-16  2020-06-10  2013-10-17  2021-08-06  2019-09-11  2014-06-02  2016-09-09  2017-03-03  2013-10-26  2020-08-06  2022-03-03  2019-11-19  2019-05-24  2010-02-10  2016-03-19  2014-05-02  2014-08-08  2016-12-16  2007-02-09  2011-04-10  2016-09-08  2013-11-23  2016-04-24  2013-11-17  2006-03-08  2010-10-15  2015-05-02  2018-04-17  2019-08-08  2019-06-25  2006-04-18  2012-07-20  2013-07-28  2019-07-18  2019-07-09  2019-09-25  2022-01-25  2020-11-29  2021-08-16  2020-06-11  2017-06-30  2022-04-13  2014-07-21  2009-02-09  2017-09-13  2017-09-11  2007-08-30  2017-09-12  2021-09-17  2010-01-09  2016-12-07  2011-03-31  2020-06-26  2012-03-14  2019-06-30  2017-07-25  2017-09-24  2013-10-27  2013-08-29  2016-03-19  2017-09-14  2016-07-19  2019-10-30  2021-09-17  2020-06-17  2013-08-22  2017-12-09  2021-08-18  2022-02-06  2016-12-14  2018-10-20  2022-03-18  2018-09-11  2011-05-14  2018-05-04  2022-01-26  2020-06-11  2019-07-30  2022-03-15  2015-09-06  2014-07-23  2019-08-31  2011-04-24  2016-03-24  2016-07-03  2019-06-13  2012-04-20  2018-05-15  2021-09-22  2019-10-18  2012-05-31  2019-10-14  2010-03-26  2008-05-21  2008-06-06  2021-09-15  2020-04-23  2011-03-31  2009-01-14  2020-03-31  2014-03-29  2011-03-21  2020-04-01  2018-03-24  2019-09-27  2012-05-24  2013-07-28  2013-11-22  2022-02-02  2020-05-28  2018-11-13  2010-03-27  2011-04-18  2017-03-30  2021-09-13  2006-04-18  2020-03-03  2016-05-26  2020-06-25  2015-09-23  2011-03-21  2016-01-18  2019-08-04  2017-06-09  2011-05-14  2016-07-10  2010-03-22  2009-01-28  2017-11-27  2014-03-27  2012-06-24  2008-02-23  2017-07-22  2019-09-27  2020-05-15  2014-12-10  2014-10-29  2016-09-05  2014-02-07  2016-11-15  2017-07-06  2017-11-22  2017-11-30  2021-05-27  2002-11-19  2021-06-08  2015-08-11  2021-05-26  2016-09-06  2018-09-20  2006-02-28  2017-10-31  2021-07-24  2010-02-10  2009-07-19  2010-03-07  2011-05-19  2010-02-06  2020-08-08  2007-02-11  2022-04-05  2020-06-20  2013-10-16  2016-03-19  2013-09-06  2014-02-18  2017-12-30  2006-04-01  2012-05-30  2018-11-29  2015-03-02  2019-02-22  2017-04-28  2020-07-27  2014-10-13  2013-10-08  2008-09-27  2014-06-13  2009-01-10  1997-11-06  2010-03-27  2019-05-24  2019-09-11  2018-12-06  2020-08-17  2017-02-08  2007-07-11  2008-05-23  2019-07-14  2017-04-22  2008-05-05  2021-10-11  2013-05-04  2016-12-02  2011-02-03  2016-06-12  2016-03-17  2016-11-20  2022-01-25  2010-01-01  2016-11-20  2021-04-02  2002-12-30  2018-02-23  2020-05-16  2020-02-03  2020-04-01  2019-06-29  2015-11-02  2018-06-04  2012-05-25  2017-06-26  2016-06-09  2019-03-29  2021-10-30  2011-09-18  2013-11-12  2017-09-07  2015-04-14  2010-11-30  2020-05-28  2021-07-07  2008-05-21  2020-07-06  2019-04-25  2020-06-11  2014-11-06  2010-03-25  2016-01-15  2021-10-13  2017-12-01  2022-03-08  2016-09-05  2021-12-02  2017-08-10  2009-07-15  2019-04-29  2013-09-06  2016-12-08  2020-04-13  2010-03-26  2021-04-05  2009-09-25  2015-11-20  2021-10-13  2020-04-25  2009-09-25  2006-12-06  2009-01-18  2016-03-25  2022-02-05  2018-06-22  2010-03-27  2016-03-22  2019-05-06  2010-09-14  2018-05-16  2022-01-25  2021-04-05  2015-02-23  2020-06-11  2009-02-09  2020-04-29  2016-12-06  2016-03-24  2010-11-06  2011-09-28  2020-08-04  2018-07-09  2016-09-07  2021-07-22  2013-09-08  2020-05-16  2020-01-22  2016-11-17  2020-06-10  2021-05-27  2017-11-24  2015-04-01  2010-02-11  2006-03-09  2015-09-27  2015-05-06  2015-03-22  2015-04-14  2018-02-04  2008-02-23  2022-04-23  2008-09-27  2015-11-14  2017-02-08  2019-05-22  2020-04-22  2019-07-22  2016-12-11  2017-02-28  2017-07-12  2017-09-14  2018-06-06  2017-06-02  2020-04-25  2020-05-19  2021-10-28  2010-03-14  2014-07-21  2008-06-02  2019-05-29  2017-11-29  2010-04-25  2014-11-25  2015-04-22  2016-03-22  2019-02-08  2017-04-16  2019-08-04  2013-10-19  2014-11-05  2013-05-27  2017-09-19  2022-04-07  2021-07-24  2008-09-03  2020-07-06  2017-08-03  2013-05-04  2018-12-14  2014-11-25  2016-06-04  2019-05-25  2016-09-28  2018-06-21  2019-01-17  2022-03-10  2019-02-19  2002-07-19  2019-06-14  2017-11-12  2010-12-30  2021-07-24  2017-09-09  2019-09-09  2016-11-13  2017-11-21  2013-08-16  2018-03-02  2011-02-02  2021-09-19  2020-04-25  2006-04-21  2019-04-15  2020-06-25  2015-03-27  2022-03-10  2017-02-28  2014-11-01  2014-02-18  2020-05-28  2020-01-05  2020-04-23  2022-03-01  2015-03-08  2013-09-09  2015-01-26  2008-05-08  2019-06-19  2020-06-18  2013-08-08  2020-06-25  2017-02-22  2004-10-03  2018-11-08  2011-05-14  2020-05-05  2017-07-04  2018-06-01  2016-07-22  2012-07-21  2013-07-28  2013-08-28  2017-02-14  2007-01-10  2019-03-01  2016-03-19  2020-06-19  2010-03-22  2017-06-30  2021-04-07  2021-06-23  2006-12-13  2018-01-08  2015-04-14  2020-05-28  2018-12-17  2018-09-18  2019-07-01  2016-03-25  2021-06-08  2013-08-31  2015-09-06  2013-11-17  2010-03-27  2015-04-13  2016-03-30  2020-06-11  2018-10-29  2021-07-27  2020-07-09  2008-05-06  2014-10-25  2004-06-15  2013-08-17  2018-06-26  2010-02-06  2009-01-19  2008-03-19  2017-09-18  2022-03-22  2012-05-25  2017-07-20  2010-04-25  2014-07-16  2018-05-15  2017-02-08  2020-07-10  2009-01-18  2010-03-22  2020-07-09  2019-03-05  2008-10-15  2016-04-25  2018-08-11  2017-08-29  2012-03-13  2009-01-28  2019-12-08
__main__.py, 2009-07-15,20,   2013-09-14  2014-10-13  2010-12-03  2009-07-19  2010-12-03  2017-03-27  2011-05-19  2011-07-15  2011-03-29  2010-12-03  2011-10-19  2010-03-22  2014-07-23  2010-03-22  2012-07-20  2013-09-14  2010-12-03  2013-09-14  2010-04-17  2012-09-28  2014-10-29  2009-07-19  2020-05-16  2014-10-13  2013-10-17  2020-04-22  2022-03-08  2012-02-17  2014-07-16  2010-05-10  2009-07-15  2019-09-11  2010-12-03  2013-08-08  2015-09-06  2013-02-27  2011-03-21  2010-03-22  2013-11-08  2021-10-30  2011-09-18  2013-08-29  2013-11-08  2010-04-17  2016-03-24  2014-08-08  2010-05-10  2012-02-17  2009-08-27  2009-08-30  2010-03-22  2011-06-07
_asynchat.py, 2021-11-16,1,   2021-11-16
_asyncore.py, 2021-11-16,1,   2021-11-16
_ctypes_test.c, 2006-03-08,17,   2007-01-17  2020-03-17  2008-02-24  2008-06-11  2010-05-09  2006-05-27  2008-03-16  2017-01-23  2017-12-31  2006-03-08  2007-07-13  2006-04-21  2011-01-31  2019-10-31  2006-08-11  2010-05-09  2008-03-05  2014-11-04  2006-04-05  2018-09-15  2007-09-08  2017-06-07  2007-07-11  2006-06-12  2011-01-31  2006-12-13  2021-10-13  2006-08-25  2017-03-31  2006-03-18  2006-04-18  2007-02-01  2021-08-09  2019-10-15  2008-02-24  2016-08-05  2006-12-28  2017-02-20  2019-07-09  2019-10-08  2019-05-06  2011-01-31  2016-09-05  2007-01-17  2016-09-08  2010-05-09  2019-09-25  2006-04-06  2006-08-14  2010-05-09  2006-08-21  2006-05-05  2014-11-06  2006-05-05  2018-12-26  2019-11-12  2007-09-07
_ctypes_test.dsp, 2006-10-15,4,   2006-10-15  2011-03-05  2010-11-02  2010-11-02  2006-10-15  2006-10-15  2010-11-02  2011-03-05  2011-03-05  2011-03-06  2006-12-13  2006-10-17  2011-03-06  2006-10-17  2006-10-15
_ctypes_test.h, 2006-03-08,1,   2006-03-08
_ctypes_test.vcproj, 2006-03-09,11,   2006-05-27  2008-06-13  2006-04-21  2012-05-17  2007-12-31  2011-03-06  2007-12-31  2006-10-07  2010-11-02  2012-05-13  2006-05-28  2006-04-21  2006-12-13  2007-05-02  2007-11-20  2006-06-08  2010-11-02  2007-12-31  2007-11-19  2006-09-05  2008-06-13  2008-01-02  2007-11-22  2011-03-06  2006-03-09  2007-11-17  2007-12-31  2007-04-30  2008-01-02  2007-11-21  2007-12-31  2006-05-27  2006-03-10  2007-11-20  2007-11-21  2010-11-02  2007-05-14
_ctypes_test.vcxproj, 2012-05-13,4,   2019-05-17  2014-11-22  2012-05-13  2012-05-13  2016-04-06  2019-02-14  2012-05-19
_ctypes_test.vcxproj.filters, 2012-05-13,2,   2012-05-13  2020-06-23
_log.py, 2020-04-25,3,   2020-07-01  2020-04-25  2020-11-02
_smtpd.py, 2021-11-16,1,   2021-11-16
_support.py, 2020-05-16,2,   2020-08-07  2020-05-17  2020-05-16
_test.dsp, 2001-02-02,1,   2001-02-02
_test_atexit.py, 2020-12-15,2,   2020-12-15  2021-12-09
_test_eintr.py, 2020-12-15,1,   2020-12-15
_test_embed_set_config.py, 2020-11-05,3,   2020-11-05  2020-11-05  2021-07-07  2021-12-02  2020-11-10  2021-12-03
_test_embed_structseq.py, 2022-01-21,1,   2022-01-21
_test_multiprocessing.py, 2013-08-14,40,   2017-10-22  2021-12-09  2020-08-31  2015-03-13  2013-08-21  2013-08-22  2017-03-29  2019-04-09  2013-10-17  2017-07-24  2013-10-16  2018-06-01  2017-07-25  2021-08-29  2013-08-14  2018-11-28  2020-07-19  2018-09-04  2020-02-21  2016-09-07  2017-08-16  2017-06-13  2013-10-17  2019-12-10  2019-12-11  2018-06-27  2019-05-10  2017-08-16  2018-11-04  2019-02-09  2019-05-20  2017-10-02  2016-08-30  2017-11-03  2020-03-09  2018-06-27  2017-05-25  2018-10-10  2017-05-17  2019-09-10  2018-12-20  2020-04-23  2018-04-20  2019-09-09  2018-09-17  2020-03-31  2016-02-10  2013-10-18  2020-05-26  2015-02-05  2019-06-25  2017-07-18  2015-05-06  2019-09-24  2018-06-27  2015-04-23  2018-10-03  2019-11-19  2017-04-14  2020-06-04  2018-07-11  2019-07-02  2017-08-10  2018-03-21  2018-08-03  2018-12-06  2019-05-13  2020-05-28  2017-07-04  2014-07-23  2019-04-24  2020-06-30  2013-10-17  2022-03-01  2019-02-09  2013-10-17  2017-11-03  2013-08-28  2017-06-12  2021-09-04  2020-06-18  2017-12-15  2016-12-10  2017-06-24  2017-07-25  2018-12-13  2017-11-08  2021-09-06  2019-05-17  2016-09-08  2019-05-10  2022-04-19  2021-09-21  2017-06-28  2020-04-25  2018-12-06  2019-12-17  2018-10-13  2015-02-13  2016-09-07  2017-03-24  2018-06-22  2020-08-07  2022-02-26  2018-11-15  2017-12-14  2019-02-07  2017-07-22  2018-12-17  2013-09-06  2019-09-24  2018-01-29  2019-07-05  2018-05-31  2019-12-11  2019-02-23  2016-03-15  2018-03-21  2017-06-13  2022-04-23  2018-07-03  2021-10-01  2019-02-11  2014-02-21  2020-03-15  2020-06-20  2020-05-04  2021-04-04  2018-06-26  2014-03-23  2020-04-27  2017-07-21  2021-10-01  2018-01-05  2013-08-29  2013-08-29  2017-09-15  2017-07-21  2018-09-29  2019-10-30  2016-03-25  2018-07-04  2017-07-25  2015-03-06  2018-03-11  2019-03-22  2018-04-09  2017-06-28  2019-02-12  2019-06-26  2013-08-22  2017-09-14  2019-07-11  2020-04-20  2020-08-17  2013-10-17  2021-07-02
_test_warnings.py, 2010-12-01,5,   2011-11-04  2022-01-26  2011-02-20  2010-12-01  2021-09-17  2011-04-03
_testbuffer.c, 2012-02-25,10,   2018-11-27  2018-07-26  2016-12-01  2012-07-28  2016-12-04  2015-03-18  2015-02-01  2020-02-17  2020-02-07  2012-03-05  2018-11-27  2015-12-25  2013-10-14  2015-02-16  2012-09-06  2020-02-07  2017-01-08  2020-12-01  2012-02-25  2020-02-24  2017-01-08  2012-03-05  2017-04-08  2012-03-05  2018-04-30  2018-07-07  2013-05-20  2012-05-16  2019-05-31  2012-08-23
_testbuffer.vcproj, 2012-02-25,2,   2012-05-13  2012-02-25  2012-05-17
_testbuffer.vcxproj, 2012-05-13,4,   2019-05-17  2014-11-22  2012-05-13  2012-05-13  2016-04-06  2019-02-14  2012-05-19  2018-01-09
_testbuffer.vcxproj.filters, 2012-05-13,2,   2012-05-13  2020-06-23
_testcapi.carbon.mcp.exp, 2001-02-12,1,   2001-02-12
_testcapi.carbon.mcp.xml, 2001-02-12,1,   2001-02-12
_testcapi.dsp, 2001-02-04,6,   2011-03-05  2010-11-02  2010-11-02  2011-03-05  2001-02-04  2010-11-02  2011-03-05  2011-03-06  2002-07-23  2004-01-02  2004-01-03  2001-02-14  2011-03-06
_testcapi.mcp.exp, 2001-02-12,1,   2001-02-12
_testcapi.mcp.xml, 2001-02-12,1,   2001-02-12
